smile id
Cc1c2ccc3ccccc3c2oc1C(=O)N[C@@H]4[C@H]5[C@H]4c6ccccc6C5 ZINC000478551286
c1ccc2c(c1)c3c([nH]2)CC/C(=C\c4ccc(cc4F)c5n[n-]nn5)/C3=O ZINC000826475443
COc1ccc2c(c1)cc(o2)c3nc(no3)c4ccc5ccncc5c4 ZINC001217240752
c1cc(cc2c1ccnc2)c3nc(on3)c4cc(=O)c5ccc(cc5o4)F ZINC001217656353
c1cc2cnccc2cc1c3nc(on3)c4cc(=O)c5ccc(cc5o4)F ZINC001217656342
C[C@]12CC[C@@H](C1(C)C)C[C@H]2NC(=O)NC[C@H]3[C@@H](C3(C)C)c4ccccc4 ZINC001563605444
Cc1ccc(cc1)n2ccc(n2)NC(=O)N[C@@H]3C[C@H]4CC[C@]3(C4(C)C)C ZINC001219331852
Cc1c([nH]c2c1cc(cc2)C(=O)Nc3ccn(n3)c4ccccc4)C ZINC000105701193
Cc1cn(nc1NC(=O)NC[C@@H]2[C@H]3[C@@H]2c4ccccc4C3)c5ccccc5 ZINC000124565280
Cc1ccc2cc(ccc2n1)c3nc(no3)c4ccc(c5c4C(=O)CC5)F ZINC001217184003
COc1ccc2cc(cnc2c1)c3nc(no3)c4ccc5ccncc5c4 ZINC001217548727
Cc1ccc2c(c1)C(=O)/C(=C/c3ccc(cc3F)c4n[n-]nn4)/CCO2 ZINC000822275824
C1C[C@H]2C[C@@H]1[C@H]3[C@@H]2[C@@H]3C(=O)N4C[C@@H]5[C@H](C4)[C@H]5CNC(=O)[C@H]6CC67CC7 ZINC001009571039
c1ccc2c(c1)cncc2c3nc(on3)c4ccc5c(c4)ccc(n5)Cl ZINC001217407796
Cc1cn(nc1NC(=O)N[C@@H]2C[C@H]3CC[C@]2(C3(C)C)C)c4ccccc4 ZINC001309978962
c1ccc2c(c1)cncc2c3nc(on3)c4ccc5c(c4)ccc(=O)[nH]5 ZINC001217432836
c1cc(cc2c1ccnc2)c3nc(on3)c4cc5cc(ccc5o4)Cl ZINC001217156843
c1ccc2c(c1)C[C@@H]3[C@H]2[C@@H]3CNC(=O)N[C@@H]4C[C@H]4c5c(cccc5F)F ZINC000437542810
c1cc2cnccc2cc1c3nc(on3)c4ccc(cn4)C(F)(F)F ZINC001212667863
Cc1ccc2c(c1)[nH]cc2c3nc(no3)c4ccc(c5c4C(=O)CC5)F ZINC001217329195
COc1ccc2c(c1)cc(o2)c3nc(no3)c4ccc5cnccc5c4 ZINC001217240012
C1C[C@@H]2[C@@H](C1)C2C(=O)N[C@H]3C[C@H]4CC[C@@H]3N4C(=O)[C@@H]5[C@@H]6[C@H]5[C@H]7CC[C@@H]6C7 ZINC000996016496
COc1ccc2c(c1)cccc2c3nc(no3)c4ccc5ccncc5c4 ZINC001217444695
C[C@H](Cc1cncc2c1cccc2)C(=O)N[C@@H]3Cc4cccc(c4C3)O ZINC000576184030
c1ccc2cc(ccc2c1)c3nc(on3)c4cc(=O)c5ccc(cc5o4)F ZINC000809534489
c1ccc2c(c1)c3ccc(cc3o2)C(=O)Nc4nc([nH]n4)c5ccccn5 ZINC001342223595
Cc1cc(cc(c1)F)n2cc(nn2)C(=O)N[C@H]3C[C@H]4CC[C@]3(C4(C)C)C ZINC001353631641
Cc1c2ccc3ccccc3c2oc1C(=O)N[C@@H]4[C@H]5[C@@H]4c6ccccc6C5 ZINC000478551289
c1cc2cnccc2cc1c3nc(no3)c4ccc(cn4)C(F)(F)F ZINC001217175346
Cc1cn(nc1NC(=O)NC[C@@H]2[C@H]3[C@H]2c4ccccc4C3)c5ccccc5 ZINC000676129404
c1cc(cc2c1ccnc2)c3nc(on3)c4ccnc5c4ccc(c5)Cl ZINC001217424260
c1ccc2c(c1)C[C@@H]3[C@@H]2[C@@H]3C(=O)N4CCC(=CC4)c5c[nH]c6c5cccn6 ZINC000623650611
Cc1ccc2c(c1)ccc(n2)c3nc(no3)c4ccc(c5c4C(=O)CC5)F ZINC001217140756
COc1ccnc(c1)c2nc(on2)c3ccc4c5ccccc5oc4c3 ZINC001217542823
COc1ccc2c(c1)cc(cn2)c3nc(no3)c4ccc5ccncc5c4 ZINC001217525835
c1cc2c(cc1C#N)[nH]cc2c3nc(no3)c4ccc(c5c4C(=O)CC5)F ZINC001217387441
c1cc2c3c(c1)C(=O)/C(=C\c4ccc(cc4F)c5n[n-]nn5)/[C@H]3CCC2 ZINC000826475511
c1ccc2c(c1)c3ccc(cc3o2)C(=O)Nc4ccc(cc4)c5n[n-]nn5 ZINC001327872290
c1cc2c(nc1)[C@H](CCC2)Oc3ccc4c5ccc(cc5c(=O)oc4c3)O ZINC001229791516
C1CCC(C1)C[NH2+][C@H]2C[C@@H]3CC[C@@H]2N(C3)C(=O)[C@@H]4[C@@H]5[C@H]4[C@H]6CC[C@@H]5C6 ZINC001079114376
C1C[C@H]2C[C@@H]1[C@H]3[C@@H]2[C@@H]3C(=O)NC[C@H]4[C@H]5[C@@H]4CN(C5)C(=O)[C@H]6CC67CC7 ZINC001009190714
C[C@H](Cc1cncc2c1cccc2)C(=O)NC[C@@H]3[C@H]4[C@H]3c5ccccc5C4 ZINC000579626702
c1ccc(cc1)[C@H]2C[C@@H]2C(=O)Nc3ccc(cc3)c4cn5ccccc5[nH+]4 ZINC000000755100
C1C[C@H]2C[C@@H]1[C@H]3[C@@H]2[C@@H]3C(=O)N4C[C@@H]5[C@@H](C4)C5CNC(=O)[C@H]6CC67CC7 ZINC001009571034
c1ccc2c(c1)c3cc(ccc3o2)C(=O)Nc4ccc5c(c4)CC[NH2+]CC5 ZINC001218938840
Cc1cn(nc1NC(=O)N[C@H]2C[C@H]3CC[C@]2(C3(C)C)C)c4ccccc4 ZINC001309978961
c1cc2c(cc1F)onc2C3CCN(CC3)C(=O)[C@@H]4[C@@H]5[C@H]4[C@H]6CC[C@@H]5C6 ZINC000936030149
