smile id
c1ccc(cc1)c2ccnc(n2)NC(=O)[C@@]3(CCNC3=O)C4CCCC4 ZINC000636568695
Cc1ccc(cc1C(=O)N[C@H]2Cc3ccccc3NC2=O)c4n[n-]nn4 ZINC001581134686
c1ccc2c(c1)ccc(n2)NC(=O)c3cc4c([nH]3)CN(CC4)C(=O)CO ZINC001274439874
c1cc2c(cc1c3n[n-]nn3)N(CC(=O)N2)C(=O)Cc4ccoc4 ZINC001582775186
Cc1cccc2c1CCN(C2)C(=O)N[C@@H]3CCC[C@H](C3)c4ccccc4 ZINC001686383717
c1ccc2cc(ccc2c1)CCOC(=O)CN3Cc4ccccc4C3=O ZINC000733860106
CC1(c2ccccc2CCN1C(=O)c3cc(cc(c3)O)c4n[n-]nn4)C ZINC001590121561
Cn1c(=O)ccc2c1cc(cc2)NC(=O)N3CC[C@@H]4COC(=O)N[C@H]4C3 ZINC000831741813
CC1([C@H]([C@@H]1NC(=O)c2cccc(c2)c3n[n-]nn3)c4ccccc4)C ZINC001590120709
c1ccc(cc1)c2ccc3c(c2)[nH]c(n3)c4cc5c(cc4O)OCC[NH2+]C5 ZINC001247014975
c1cc2c(cc1c3n[n-]nn3)C[C@@H](C2)[NH2+][C@H]4CCCc5c4cn[nH]5 ZINC001593564765
c1cc(ccc1c2n[n-]nn2)NNc3coc4c3ccc(c4)O ZINC001593540642
c1ccc(cc1)[C@@H]2CCCN(CC2)c3ccc(cc3F)c4n[n-]nn4 ZINC000737640729
Cc1cc(cc2c1CN(CC2)C(=O)NCc3ccc4ccccc4c3)F ZINC001685076765
c1ccc2c(c1)c(c(c[nH+]2)c3n[n-]nn3)N4[C@@H]5CC[C@H]4CC(C5)O ZINC001593518209
c1cc2c(cc1F)[nH]cc2CC(=O)N3CCc4c(ccc(n4)C(=O)N)C3 ZINC001275611677
c1ccc2c(c1)c(cc[nH+]2)N3CCc4c(c5cc(ccc5[nH]4)C(=O)[O-])C3 ZINC000740190174
c1ccc2cc(ccc2c1)CNC(=O)N3Cc4ccc(cc4C3)C(=O)[O-] ZINC000740199070
c1cc(cc(c1)NC(=O)N2CCc3cc(ccc3C2)O)C4CCC4 ZINC001347737039
C#CCn1cc(cn1)CNC(=O)c2ccc3c(c2)oc(n3)c4ccccc4 ZINC000819537272
c1ccc2c(c1)cc(cn2)CCc3nc(no3)c4ccc5c(c4)CCC5=O ZINC001249024264
c1cc2c(cc1c3nc(on3)[C@@H]4Cc5cc(ccc5O4)F)CCCC2=O ZINC001249035604
c1ccc(cc1)c2nnc(o2)CC(=O)N3CC[C@@H]4COC(=O)N[C@H]4C3 ZINC000869121400
c1ccc(cc1)C(=O)[C@@H]2C[C@@H]2c3nc(no3)c4ccc5c(c4)CCCC5=O ZINC001249044284
c1ccc(cc1)[C@@H]2CCCN(CC2)C(=O)[C@@H]3Cc4cc(ccc4O3)F ZINC000740821220
c1ccc2c(c1)ncc(n2)N3CCc4c3cc(cc4)c5n[n-]nn5 ZINC000826524451
Cc1[nH]nc(n1)c2cccc(c2)NC(=O)N[C@@H]3[C@H]4[C@H]3c5ccccc5CC4 ZINC000246141732
Cc1[nH]nc(n1)c2cccc(c2)NC(=O)N[C@@H]3[C@@H]4[C@H]3c5ccccc5CC4 ZINC000246141746
Cc1ccc(c(c1)O)C(=O)N[C@H]2Cc3ccc(cc3C2)c4n[n-]nn4 ZINC001581162021
c1ccc2c(c1)c(ccn2)c3[nH]c4cc(ccc4n3)c5n[n-]nn5 ZINC000826522649
c1ccc2c(c1)[C@@H]3CC[C@]2(O3)c4nc(no4)c5ccc6c(c5)CCCC6=O ZINC001249062603
Cc1ccc(c(c1)O)C(=O)N[C@@H]2Cc3ccc(cc3C2)c4n[n-]nn4 ZINC001581162023
CC1([C@@H]([C@@H]2[C@@H]1OCC2)NC(=O)c3ccc4c(c3)-c5ccccc5C4)C ZINC000741205512
c1ccc(cc1)N2CCC(CC2)c3nc(no3)c4ccc5c(c4)CCC5=O ZINC001249094771
C[C@@H](c1ccc2c(c1)CCC(=O)N2)Nc3ccc(cc3)c4n[n-]nn4 ZINC001589980834
c1cc(nnc1)C(=O)N2CC[C@H](C2)NC(=O)c3ccc4c(c3)C=CCC4 ZINC000941495579
c1cc2c(cc1C(=O)N[C@@H]3CCN(C3)C(=O)c4cnco4)C=CCC2 ZINC000941495118
c1cc(cc(c1)F)NC(=O)N2CCc3c2cc(cc3)c4n[n-]nn4 ZINC000826456487
c1cc(ccc1NC(=O)N2CCc3c2cc(cc3)c4n[n-]nn4)F ZINC000826454088
c1ccc2c(c1)c(cc([nH+]2)c3n[n-]nn3)NCc4cccc(n4)F ZINC000826376756
Cc1cccc(c1)NC(=O)N2CCc3c2cc(cc3)c4n[n-]nn4 ZINC000826299683
c1cc2cc(c(cc2nc1)F)Cc3nc(no3)c4ccc5c(c4)CCC5=O ZINC001249277432
Cc1ccc(cc1)NC(=O)N2CCc3c2cc(cc3)c4n[n-]nn4 ZINC000826290963
CC(=O)N1Cc2ccccc2C[C@H]1c3nc(no3)c4cccc5c4cco5 ZINC001248904676
CC(=O)N1Cc2ccccc2C[C@@H]1c3nc(no3)c4cccc5c4cco5 ZINC001248904674
Cc1ccc2c(c1)CN(CC2)C(=O)Nc3ccc4c(c3)CCC(=O)N4 ZINC000665455665
CCc1ccc2c(c1)[C@@]3(C(=O)N2)NC(=O)[C@H]4[NH+]3Cc5ccccc5C4 ZINC000871601909
c1cc2c(cc1c3n[n-]nn3)CC[C@@H]2[NH2+][C@@H]4[C@@H]5C[C@@H]6CO[C@H]4[C@H]6C5 ZINC001593563956
C[C@]1(CCCc2c1cccc2)C(=O)NOc3cccc(c3)c4n[n-]nn4 ZINC001590068625
c1ccc2c(c1)ccc(n2)C[C@@H](C(=O)NC[C@@]3(CCC[NH2+]3)CC4CC4)[NH3+] ZINC001221250596
c1ccc2cc(ccc2c1)NC(=O)C[NH+]3CCc4ccc(cc4C3)O ZINC000738325094
c1ccc2cc(ccc2c1)c3nc(on3)[C@@H]4C[C@]45c6ccccc6NC5=O ZINC001247943206
c1ccc(cc1)n2cc(ccc2=O)C(=O)NC[C@@]3(CCC[NH2+]3)CC4CC4 ZINC001221250426
c1ccc2c(c1)CC[C@@H]2Nc3cc([nH+]c4c3cccc4)c5n[n-]nn5 ZINC000738436431
c1ccc2c(c1)CC[C@H]2Nc3cc([nH+]c4c3cccc4)c5n[n-]nn5 ZINC000738436432
c1ccc2c(c1)CCC[C@H]2Nc3cc([nH+]c4c3cccc4)c5n[n-]nn5 ZINC000738443577
Cc1cc(cc(c1)Cl)c2nc(on2)[C@@H]3C[C@]34c5ccccc5NC4=O ZINC001247944183
c1cc2cc(ccc2nc1)Cc3nc(no3)c4ccc5c(c4)CCCC5=O ZINC001247969849
Cc1cc(cc2c1NC(=O)[C@@]23NC(=O)[C@H]4[NH+]3Cc5ccccc5C4)F ZINC000871602765
Cc1cccc(c1)C2=CCN(CC2)C(=O)N[C@@H]3CCCc4c3cccc4 ZINC001684512650
c1cc2c(cc1c3nc(on3)Cc4c[nH]c5c4cc(cc5)O)CCCC2=O ZINC001248145736
CC(=O)N1Cc2ccccc2C[C@H]1c3nc(no3)c4ccc5c(c4)cco5 ZINC001248903127
C[C@@H]1CN(CC(=O)N1)c2ccc3cc(ccc3n2)c4n[n-]nn4 ZINC001590313413
Cc1ccc2c(c1)CN(CC2)C(=O)Nc3ccc(cc3)C(=O)NC4CC4 ZINC000665408243
c1cc2cc(c(cc2nc1)F)CC(=O)N3CCc4cc([nH]c4C3)C(=O)N ZINC001275256773
c1ccc2c(c1)c(c[nH]2)CC(=O)C(=O)N3CCc4cc([nH]c4C3)C(=O)N ZINC001275487643
c1ccc2c(c1)[C@]3(CCN(C3)C(=O)Cc4cccc(c4)C5CC5)C(=O)N2 ZINC000665437414
Cc1ccc(cc1)CNC(=O)c2ccc3c(c2)-c4ccccc4C3 ZINC001351374094
c1ccc2c(c1)[C@@]3(CCN(C3)C(=O)Cc4cccc(c4)C5CC5)C(=O)N2 ZINC000665437415
c1ccc(cc1)C2=CCN(C2)C(=O)C(=O)Nc3cc(ccc3F)C(=O)[O-] ZINC001601584888
c1cc2c(cc1NC(=O)N3CCC[C@@H](C3)F)CCNC2=O ZINC000667384182
c1ccc(cc1)c2[nH]c(c[nH+]2)C(=O)Nc3ccc4c(c3)cc(o4)C(=O)[O-] ZINC000739478456
c1ccc(cc1)C2=CCN(C2)C(=O)C(=O)Nc3ccc(c(c3)F)C(=O)[O-] ZINC001601595998
c1cc(cc(c1)O)C[NH2+][C@@H]2Cc3ccc(cc3C2)c4n[n-]nn4 ZINC001593540688
